Order ID,Start Location,End Location,Distance (km),Urgency,Transportation Method,Transportation Cost ($),Fuel Efficiency (km/l),Emissions (gCO2/km)
ORD1081,"Los Angeles, US","New York City, US",4195,Low,Ship,83.9,0.2806031851176236,437.38521105250703
ORD1082,"London, UK","New York City, US",2982,Medium,Train,89.46,0.14177610336094804,473.94455540644867
ORD1083,"New York City, US","Los Angeles, US",3830,Low,Ship,76.60000000000001,0.26706635724156214,105.65277349422544
ORD1084,"New York City, US","Paris, FR",538,Medium,Plane,16.14,0.46676999921860296,142.67250617686207
ORD1085,"Tokyo, JP","London, UK",1462,Medium,Ship,43.86,0.2179005373338505,242.43962613389715
ORD1086,"Tokyo, JP","New York City, US",4806,Low,Train,96.12,0.15708091863203816,300.6024140466918
ORD1087,"London, UK","London, UK",3253,Medium,Ship,97.59,0.2578788399173222,412.59195169144175
ORD1088,"Los Angeles, US","Tokyo, JP",3508,Low,Ship,70.16,0.2768895304995984,254.34523379889808
ORD1089,"Cairo, EG","Paris, FR",2510,Medium,Ship,75.3,0.38502649974164793,471.16239624803137
ORD1090,"London, UK","Tokyo, JP",1289,Medium,Train,38.67,0.42769082737857234,261.5736292475359
ORD1091,"Tokyo, JP","Tokyo, JP",1408,Medium,Train,42.239999999999995,0.2845904016676146,467.5547863809875
ORD1092,"London, UK","Cairo, EG",280,Low,Plane,5.6000000000000005,0.4126520339501569,367.2097632580549
ORD1093,"Cairo, EG","Paris, FR",2176,Medium,Ship,65.28,0.11289354361722115,99.8792170349949
ORD1094,"London, UK","Los Angeles, US",4338,Medium,Plane,130.14,0.33732860032965767,322.2038113319428
ORD1095,"Cairo, EG","London, UK",557,Medium,Ship,16.71,0.18192779716913893,411.3208629833312
ORD1096,"Los Angeles, US","Los Angeles, US",429,Medium,Plane,12.87,0.26525110947429686,454.9151834755408
ORD1097,"Los Angeles, US","Tokyo, JP",325,Medium,Train,9.75,0.22255127235039618,470.77272015276964
ORD1098,"Paris, FR","London, UK",2481,High,Plane,124.05000000000001,0.2014766683283937,215.16110284619572
ORD1099,"Tokyo, JP","Los Angeles, US",391,High,Plane,19.55,0.26987464334565225,123.83526378430935
ORD1100,"Cairo, EG","London, UK",3349,Medium,Plane,100.47,0.3065883265173118,239.46289001274326
ORD1101,"London, UK","Paris, FR",4501,Low,Ship,90.02,0.29667589833292285,329.754658013367
ORD1102,"London, UK","Cairo, EG",4169,Medium,Train,125.07,0.19094444960597512,79.34910885509746
ORD1103,"London, UK","Tokyo, JP",795,Medium,Train,23.849999999999998,0.29264371647186305,153.81723002093133
ORD1104,"Los Angeles, US","Paris, FR",3863,High,Plane,193.15,0.22856863005212813,239.9305391907033
ORD1105,"Tokyo, JP","New York City, US",957,Low,Ship,19.14,0.44826204723466,492.94684535222615
ORD1106,"Cairo, EG","New York City, US",503,Low,Ship,10.06,0.40015179547433954,58.182439266752816
ORD1107,"London, UK","London, UK",101,Medium,Plane,3.03,0.14169208176241127,52.33765152873199
ORD1108,"New York City, US","Los Angeles, US",4608,Medium,Plane,138.24,0.34587168418539244,466.00950246388453
ORD1109,"Cairo, EG","New York City, US",1006,Low,Plane,20.12,0.25729553689574935,227.04678694170994
ORD1110,"Los Angeles, US","London, UK",2652,High,Ship,132.6,0.33213556474255934,414.4910255504884
ORD1111,"London, UK","Los Angeles, US",2829,High,Train,141.45000000000002,0.4365219471631355,259.7185289145607
ORD1112,"Cairo, EG","Los Angeles, US",2892,Medium,Ship,86.75999999999999,0.3092691668730715,358.6648159748659
ORD1113,"Los Angeles, US","Tokyo, JP",1795,Medium,Train,53.85,0.4191143819978287,110.121867653655
ORD1114,"Cairo, EG","Paris, FR",3537,High,Ship,176.85000000000002,0.24837092308164507,202.89467271800245
ORD1115,"Tokyo, JP","Cairo, EG",1307,Low,Ship,26.14,0.4932218626996222,171.1458050125159
ORD1116,"New York City, US","Tokyo, JP",4986,Medium,Plane,149.57999999999998,0.4517801790394739,332.83787301118235
ORD1117,"London, UK","Cairo, EG",3147,Low,Plane,62.940000000000005,0.4833171249952928,420.09264266792786
ORD1118,"London, UK","Paris, FR",103,Medium,Ship,3.09,0.30794437547593934,237.34651778195834
ORD1119,"London, UK","New York City, US",3840,High,Ship,192.0,0.39382980796160816,488.0501205179204
ORD1120,"Cairo, EG","Los Angeles, US",4272,Medium,Ship,128.16,0.4435049936319765,387.2996945026526
ORD1121,"Tokyo, JP","Tokyo, JP",3778,High,Plane,188.9,0.12176356618588523,360.8659063242685
ORD1122,"Los Angeles, US","Tokyo, JP",2825,Medium,Plane,84.75,0.10592539644255275,352.4800228544648
ORD1123,"Tokyo, JP","Cairo, EG",395,Low,Plane,7.9,0.3427407674734578,317.5729798727989
ORD1124,"Tokyo, JP","Paris, FR",2110,Low,Ship,42.2,0.45698828105617983,321.6279797183103
ORD1125,"Los Angeles, US","Paris, FR",520,High,Train,26.0,0.37741706678523246,252.0195655522278
ORD1126,"London, UK","Los Angeles, US",2857,Medium,Ship,85.71,0.27884333033926034,452.29250909585
ORD1127,"Paris, FR","New York City, US",4121,High,Train,206.05,0.4288295146785527,401.37458949878277
ORD1128,"Los Angeles, US","Los Angeles, US",1496,Low,Ship,29.92,0.32311471661632674,479.94834317575356
ORD1129,"Cairo, EG","Paris, FR",857,Medium,Train,25.709999999999997,0.26599637760830386,135.5988819487425
ORD1130,"New York City, US","London, UK",808,Low,Plane,16.16,0.23267764998902007,309.66507937950183
ORD1131,"London, UK","Los Angeles, US",3429,Medium,Plane,102.86999999999999,0.3693451436660784,249.01442181237496
ORD1132,"Paris, FR","Los Angeles, US",2582,High,Train,129.1,0.3929158364254889,475.87936500157014
ORD1133,"Paris, FR","London, UK",957,Low,Ship,19.14,0.21180945217707903,351.91646683033383
ORD1134,"Los Angeles, US","London, UK",1972,High,Train,98.60000000000001,0.18628865954096,76.83336975934247
ORD1135,"Los Angeles, US","Los Angeles, US",2294,Low,Ship,45.88,0.28792515551479736,162.08425484044272
ORD1136,"New York City, US","Tokyo, JP",908,Medium,Ship,27.24,0.1427339073273081,270.4212875957825
ORD1137,"New York City, US","Los Angeles, US",282,Medium,Plane,8.459999999999999,0.2938919521589019,361.8872373255054
ORD1138,"Tokyo, JP","London, UK",1942,Medium,Train,58.26,0.13158249497845836,437.1292740323515
ORD1139,"Paris, FR","Cairo, EG",196,Low,Ship,3.92,0.20585315462688875,81.82045785465311
ORD1140,"Los Angeles, US","New York City, US",1511,Low,Train,30.22,0.3996487188966923,422.913539143282
ORD1141,"Tokyo, JP","Los Angeles, US",2829,High,Ship,141.45000000000002,0.42885365941582565,320.24389842357095
ORD1142,"Los Angeles, US","Tokyo, JP",1869,Medium,Train,56.07,0.47076481177113016,153.51082877166453
ORD1143,"Tokyo, JP","Cairo, EG",1379,Medium,Ship,41.37,0.40734544831973996,199.55533510890217
ORD1144,"Tokyo, JP","London, UK",750,High,Plane,37.5,0.21758847914426147,461.7512420843774
ORD1145,"Cairo, EG","New York City, US",1461,Low,Train,29.22,0.1442047877939368,448.49478458148565
ORD1146,"Cairo, EG","Los Angeles, US",280,High,Ship,14.0,0.3383345435411448,261.70584255840174
ORD1147,"Paris, FR","New York City, US",3195,Medium,Plane,95.85,0.16117534064043237,298.6637923535974
ORD1148,"Cairo, EG","New York City, US",2885,Medium,Ship,86.55,0.3592833819989659,161.26737119991228
ORD1149,"London, UK","Tokyo, JP",2024,Medium,Plane,60.72,0.45235343906353265,257.01454172303806
ORD1150,"Los Angeles, US","Los Angeles, US",4474,Low,Train,89.48,0.30158532372326885,490.907054226455
ORD1151,"Cairo, EG","New York City, US",478,High,Plane,23.900000000000002,0.21786726054538336,99.09482114046145
ORD1152,"London, UK","Paris, FR",2316,High,Ship,115.80000000000001,0.2451203422610278,430.2812753297895
ORD1153,"Cairo, EG","Tokyo, JP",3175,High,Ship,158.75,0.2992719048911463,226.8685089708106
ORD1154,"Cairo, EG","New York City, US",1994,High,Ship,99.7,0.1691119479139766,316.02790261170816
ORD1155,"Los Angeles, US","London, UK",1281,Low,Train,25.62,0.23899244463537506,160.5195214301914
ORD1156,"Tokyo, JP","London, UK",1589,High,Ship,79.45,0.3239666171926475,315.74646782786635
ORD1157,"Los Angeles, US","New York City, US",1213,High,Plane,60.650000000000006,0.4546602313056335,76.09975311026356
ORD1158,"Paris, FR","New York City, US",1778,Medium,Plane,53.339999999999996,0.2360827016897203,321.4032810128924
ORD1159,"London, UK","New York City, US",2699,High,Plane,134.95000000000002,0.44993920925180564,441.5553752935736
ORD1160,"Los Angeles, US","Tokyo, JP",4186,Low,Plane,83.72,0.1056424543935422,220.83420724418383
ORD1161,"New York City, US","New York City, US",1321,High,Train,66.05,0.4716257498400157,176.77491572158942
ORD1162,"London, UK","Tokyo, JP",1631,Medium,Plane,48.93,0.36989931730953274,466.8342018119641
ORD1163,"London, UK","New York City, US",3577,Medium,Ship,107.31,0.12453590257126988,279.33297086030836
ORD1164,"Cairo, EG","Cairo, EG",2700,High,Train,135.0,0.21172174741126848,51.99959359017017
ORD1165,"Cairo, EG","Paris, FR",376,Medium,Ship,11.28,0.4935069533633404,66.8977364023383
ORD1166,"London, UK","Los Angeles, US",131,Medium,Ship,3.9299999999999997,0.19408079016382618,428.2377588487602
ORD1167,"New York City, US","Tokyo, JP",928,Low,Train,18.56,0.3977486447440832,424.47023964234444
ORD1168,"Tokyo, JP","Los Angeles, US",1591,Medium,Plane,47.73,0.35496576960170556,198.05445469739513
ORD1169,"London, UK","Paris, FR",2643,High,Ship,132.15,0.3592257878342787,62.51085683005738
ORD1170,"Cairo, EG","Cairo, EG",2147,High,Ship,107.35000000000001,0.3013669589260424,432.0766703289391
ORD1171,"Los Angeles, US","New York City, US",4522,Low,Plane,90.44,0.1611371738913975,426.8827021125202
ORD1172,"Cairo, EG","Tokyo, JP",1542,High,Train,77.10000000000001,0.36002029560929705,435.8377347952908
ORD1173,"Los Angeles, US","Los Angeles, US",2396,Medium,Ship,71.88,0.45721381944718675,267.2583414938893
ORD1174,"London, UK","New York City, US",2603,High,Plane,130.15,0.1489001130687588,274.8163472166344
ORD1175,"Los Angeles, US","New York City, US",4750,Medium,Train,142.5,0.24119423508291102,456.5159673665036
ORD1176,"New York City, US","Los Angeles, US",2294,Low,Train,45.88,0.1942093479324561,346.59797929538627
ORD1177,"Los Angeles, US","Paris, FR",4153,Medium,Plane,124.58999999999999,0.2046167677906784,211.81628980263886
ORD1178,"Tokyo, JP","New York City, US",4742,Low,Train,94.84,0.1552367106338701,358.09708454807907
ORD1179,"London, UK","Paris, FR",2916,Low,Ship,58.32,0.16430541141214677,316.8306044559359
ORD1180,"New York City, US","Paris, FR",2041,Low,Ship,40.82,0.2595075606698045,109.6550212746748
ORD1181,"Cairo, EG","New York City, US",1111,Low,Plane,22.22,0.4101675200120435,326.42337421762244
ORD1182,"Paris, FR","Paris, FR",3373,High,Train,168.65,0.3606300210455645,436.68409495854286
ORD1183,"Paris, FR","Paris, FR",1770,Medium,Train,53.1,0.48225872692878957,475.66342584499364
ORD1184,"Paris, FR","Tokyo, JP",3539,High,Ship,176.95000000000002,0.3049971627178515,89.50624691102121
ORD1185,"Cairo, EG","Tokyo, JP",899,High,Ship,44.95,0.17091314690544468,431.4733283186881
ORD1186,"Los Angeles, US","London, UK",2847,Low,Plane,56.94,0.14409219682860855,265.1098130804665
ORD1187,"Tokyo, JP","Paris, FR",4844,Medium,Ship,145.32,0.3768626939246581,110.45209386530013
ORD1188,"Tokyo, JP","Tokyo, JP",3390,High,Plane,169.5,0.32308071827367435,226.01829511988254
ORD1189,"Los Angeles, US","Los Angeles, US",1852,Low,Plane,37.04,0.22306833949929605,57.13992323803553
ORD1190,"Cairo, EG","New York City, US",2744,Low,Ship,54.88,0.17199652543449076,323.8418562069743
ORD1191,"Tokyo, JP","Cairo, EG",1722,Low,Train,34.44,0.26727430291103804,443.09772458353797
ORD1192,"Tokyo, JP","New York City, US",4297,High,Plane,214.85000000000002,0.19049423223507414,403.8202268420377
ORD1193,"New York City, US","Paris, FR",3921,High,Plane,196.05,0.291836929607292,76.04805335125545
ORD1194,"Los Angeles, US","New York City, US",768,Medium,Plane,23.04,0.28481318904455605,155.10435465006418
ORD1195,"Los Angeles, US","Tokyo, JP",4545,Medium,Plane,136.35,0.30540591358029623,214.79923451084449
ORD1196,"Tokyo, JP","Tokyo, JP",1289,Low,Plane,25.78,0.3246902318726048,365.55272969753815
ORD1197,"Los Angeles, US","London, UK",100,High,Plane,5.0,0.4148009879949246,78.60243342085744
ORD1198,"Cairo, EG","Los Angeles, US",1339,Medium,Train,40.17,0.29978338935742166,418.38396795010874
ORD1199,"Los Angeles, US","Tokyo, JP",379,Medium,Train,11.37,0.34794808259463644,74.69370084269478
ORD1200,"New York City, US","Tokyo, JP",4102,High,Train,205.10000000000002,0.3011463027339317,480.9788537742939
ORD1201,"New York City, US","London, UK",2686,Low,Train,53.72,0.1453021932221421,395.66431154215996
ORD1202,"Paris, FR","Cairo, EG",524,High,Train,26.200000000000003,0.1779963267970234,243.25484122344452
ORD1203,"New York City, US","London, UK",103,Low,Train,2.06,0.17851070040734873,84.98415331282051
ORD1204,"London, UK","Los Angeles, US",100,Low,Plane,2.0,0.19829732327690472,124.80959115596926
ORD1205,"Los Angeles, US","New York City, US",2916,Low,Plane,58.32,0.4537939227742752,256.5186251351729
ORD1206,"Paris, FR","Paris, FR",4964,High,Plane,248.20000000000002,0.22268610602438044,447.1811773333066
ORD1207,"Los Angeles, US","London, UK",4815,Low,Train,96.3,0.1763914139524248,96.60721985845566
ORD1208,"Tokyo, JP","New York City, US",4742,Medium,Train,142.26,0.22846215633232783,373.702999016405
ORD1209,"Cairo, EG","Paris, FR",3326,High,Plane,166.3,0.32078444667570577,199.55486768179495
ORD1210,"Paris, FR","Tokyo, JP",101,High,Plane,5.050000000000001,0.4843531888986401,120.76284978408435
ORD1211,"Cairo, EG","Cairo, EG",3757,High,Plane,187.85000000000002,0.40483907679107245,105.23735334241334
ORD1212,"Paris, FR","London, UK",1207,Medium,Ship,36.21,0.3923172988978679,390.07428709432753
ORD1213,"London, UK","Tokyo, JP",857,High,Plane,42.85,0.24211859344037112,248.9821589666512
ORD1214,"Los Angeles, US","New York City, US",2179,Low,Train,43.58,0.23106122053348163,83.04682156342676
ORD1215,"New York City, US","Tokyo, JP",2648,Medium,Ship,79.44,0.26928127925053913,97.6934235574667
ORD1216,"Tokyo, JP","Tokyo, JP",101,High,Train,5.050000000000001,0.1877662898854684,112.3397276549137
ORD1217,"Los Angeles, US","Cairo, EG",3568,Low,Ship,71.36,0.36679855572260334,329.6508529969857
ORD1218,"Los Angeles, US","New York City, US",1538,Medium,Train,46.14,0.43560070173240706,433.47800350405146
ORD1219,"New York City, US","Paris, FR",457,Low,Plane,9.14,0.2432300386303596,52.95462607059373
ORD1220,"Paris, FR","Cairo, EG",4169,Medium,Ship,125.07,0.15845286162504202,375.8088653932192
ORD1221,"New York City, US","Paris, FR",3559,Low,Train,71.18,0.13296774240648263,310.7994829992731
ORD1222,"New York City, US","London, UK",1245,High,Plane,62.25,0.2830685995305478,304.9656587283082
ORD1223,"Paris, FR","Tokyo, JP",4561,Low,Ship,91.22,0.46921451361108146,146.7978578421569
ORD1224,"London, UK","New York City, US",1169,High,Plane,58.45,0.16735528081192286,302.1635723332896
ORD1225,"New York City, US","Paris, FR",942,Low,Train,18.84,0.12839038605393946,308.88764282931356
ORD1226,"New York City, US","Los Angeles, US",1722,High,Train,86.10000000000001,0.2590668154080782,166.612580529717
ORD1227,"Paris, FR","London, UK",1524,Medium,Train,45.72,0.3318775495779559,313.059099295035
ORD1228,"New York City, US","Paris, FR",642,Low,Ship,12.84,0.17498261252331504,249.08621100976586
ORD1229,"Paris, FR","Paris, FR",1239,Medium,Train,37.17,0.12649164874244564,276.4912579024202
ORD1230,"Cairo, EG","Tokyo, JP",4191,Medium,Train,125.72999999999999,0.1320423971005409,169.99496381040782
ORD1231,"Los Angeles, US","Los Angeles, US",3072,Medium,Plane,92.16,0.4922793185777675,100.59178675412589
ORD1232,"Cairo, EG","Tokyo, JP",4561,Low,Train,91.22,0.18701417700296177,496.403341459301
ORD1233,"London, UK","Los Angeles, US",724,Low,Plane,14.48,0.3303982423807629,485.8721422861924
ORD1234,"Paris, FR","New York City, US",2573,Low,Train,51.46,0.3871275435476633,308.290388140945
ORD1235,"Paris, FR","London, UK",4666,High,Ship,233.3,0.15359642038968668,162.8111394073482
ORD1236,"Tokyo, JP","Cairo, EG",1522,High,Ship,76.10000000000001,0.2566900764669967,204.6187180690914
ORD1237,"Cairo, EG","New York City, US",715,High,Plane,35.75,0.1261113537523301,211.49905928670896
ORD1238,"Los Angeles, US","Paris, FR",4235,Medium,Train,127.05,0.23650186845536658,253.07421876417496
ORD1239,"Los Angeles, US","Los Angeles, US",4896,Low,Plane,97.92,0.43073567415569236,181.15845983402968
ORD1240,"Cairo, EG","London, UK",3111,Low,Plane,62.22,0.3806407179263581,478.7358644329064
ORD1241,"London, UK","Tokyo, JP",4237,High,Ship,211.85000000000002,0.24510077996479074,87.20587521625112
ORD1242,"Cairo, EG","London, UK",942,Low,Train,18.84,0.20712072331289902,388.0814942522453
ORD1243,"Tokyo, JP","Tokyo, JP",3508,High,Train,175.4,0.23454602113755826,430.96381035147414
ORD1244,"London, UK","Paris, FR",656,High,Train,32.800000000000004,0.10088717325795882,422.41782794237827
ORD1245,"Cairo, EG","Tokyo, JP",3150,Medium,Ship,94.5,0.4911892660296796,71.11356098926342
ORD1246,"Paris, FR","Los Angeles, US",4369,Medium,Plane,131.07,0.22272750351338466,410.5912676984596
ORD1247,"New York City, US","Tokyo, JP",2401,Low,Train,48.02,0.17674108623830956,420.9433885633553
ORD1248,"Cairo, EG","Los Angeles, US",2550,Medium,Train,76.5,0.2207735602468707,307.1333097436973
ORD1249,"Cairo, EG","New York City, US",2508,Medium,Train,75.24,0.46945112573755043,285.2719694169807
ORD1250,"Paris, FR","Tokyo, JP",3901,Low,Ship,78.02,0.4565219073886402,493.3177757340952
ORD1251,"Cairo, EG","London, UK",4075,Medium,Plane,122.25,0.47841812778489357,196.2938266803356
ORD1252,"London, UK","New York City, US",656,Low,Ship,13.120000000000001,0.276742930468288,352.2818014280354
ORD1253,"Paris, FR","Los Angeles, US",913,High,Train,45.650000000000006,0.24692041000740916,105.86743513417574
ORD1254,"London, UK","Los Angeles, US",4521,High,Train,226.05,0.4075163192896093,142.13002194019134
ORD1255,"Cairo, EG","New York City, US",2510,High,Plane,125.5,0.19746890616376153,80.90910029852233
ORD1256,"Cairo, EG","New York City, US",3953,Low,Ship,79.06,0.31036756503558427,297.23372511450305
ORD1257,"Tokyo, JP","Tokyo, JP",3023,Low,Ship,60.46,0.33113154461771555,271.72460805894184
ORD1258,"London, UK","Los Angeles, US",2299,Medium,Ship,68.97,0.1923480011251095,488.946482166018
ORD1259,"New York City, US","London, UK",421,Low,Train,8.42,0.12961840866893173,152.37007439586765
ORD1260,"Los Angeles, US","Cairo, EG",3759,High,Train,187.95000000000002,0.12962789964085053,137.47425540519265
ORD1261,"Paris, FR","Cairo, EG",4366,Medium,Plane,130.98,0.48893546172667934,182.06875586559926
